error
0.139326
0.142945
0.143005
0.0750259
0.0717442
0.0715458
0.10167
0.112149
0.124351
0.0504348
0.050501
0.0528633
0.0649229
0.0623744
0.0600161
0.0414869
0.0476635
0.0530607
0.0928336
0.100354
0.109697
0.0239999
0.0262051
0.0229701
0.0441756
0.0472524
0.0435312
0.101214
0.106244
0.110996
0.0810512
0.0823304
0.0828818
0.097717
0.0984892
0.101693
0.0669182
0.0679204
0.0705829
0.0329301
0.0299772
0.0252504
0.0652698
0.0626635
0.0646826
0.0665353
0.0684921
0.064319
0.0918873
0.0905682
0.0966045
0.0647586
0.0666806
0.0641651
0.048022
0.0517167
0.0460272
0.0326291
0.0363888
0.037621
0.0682687
0.0699408
0.0709643
0.117448
0.118982
0.119854
0.115973
0.118338
0.119737
0.119391
0.124798
0.134938
0.121692
0.127439
0.131434
0.157174
0.157813
0.154861
0.15613
0.153501
0.156977
0.131574
0.130836
0.139928
0.147059
0.148026
0.154775
0.0870767
0.0907809
0.0942883
0.0791279
0.0780157
0.0830557
0.0536671
0.0525647
0.052831
0.103529
0.117032
0.117208
0.0641647
0.0622088
0.0625684
0.0620874
0.0633267
0.0671237
0.0572536
0.063484
0.0588047
0.0634337
0.0628895
0.0640744
0.0215207
0.0236014
0.0218088
0.0638925
0.0642947
0.0665505
0.122248
0.11638
0.117111
0.064555
0.0567663
0.06124
0.0529526
0.056257
0.0610657
0.0626506
0.0610999
0.0662154
0.117161
0.123102
0.12261
0.0625773
0.0601837
0.0561393
0.142841
0.142213
0.152455
0.15769
0.161368
0.16412
0.132697
0.121165
0.115805
0.0897982
0.0901057
0.101155
0.119583
0.123056
0.120952
0.0924482
0.0940968
0.0944352
0.104506
0.105831
0.106944
0.0973628
0.0939091
0.0960596
0.139562
0.137094
0.129846
0.108514
0.106233
0.103334
0.167595
0.173896
0.173778
0.095071
0.0953287
0.0996048
0.0979168
0.0960436
0.0959586
0.105528
0.101749
0.103707
0.0805147
0.0793545
0.0740556
0.0262079
0.0262834
0.0294917
0.0246656
0.0242898
0.0276435
0.0542635
0.0575789
0.0498497
0.0326303
0.0328276
0.0317337
0.00896732
0.00639844
0.0100126
0.0300755
0.0327274
0.0312329
0.0431585
0.045522
